"GroupID","Hostname","Configuration","Title"
"V-14259","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-16020","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-14261","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-36681","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-36684","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-36687","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-15705","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-15706","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-3470","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-14253","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-36698","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-36700","ZNC121A0SCAP06","Ongoing","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-14243","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-26579","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-26580","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-26581","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-26582","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-36707","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-21980","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-15683","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-36708","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-14247","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-14249","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-3453","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
